         Num  Time(s)  PosAbs(mm)  Pos(mm)  Pos(%)  Load(kN)
0        1.0    0.005    -11.8724  -0.0013     0.0    0.0965
10      11.0    2.005    -11.7390   0.1320     0.0    0.1091
20      21.0    4.005    -11.6051   0.2660     0.0    0.1235
30      31.0    6.005    -11.4719   0.3992     0.0    0.1457
40      41.0    8.005    -11.3383   0.5327     0.0    0.1687
50      51.0   10.005    -11.2047   0.6663     0.0    0.1942
60      61.0   12.005    -11.0719   0.7991     0.0    0.2192
70      71.0   14.005    -10.9393   0.9318     0.0    0.2495
80      81.0   16.005    -10.8048   1.0662     0.0    0.2885
90      91.0   18.005    -10.6718   1.1992     0.0    0.3273
100    101.0   20.005    -10.5381   1.3330     0.0    0.3725
110    111.0   22.005    -10.4051   1.4659     0.0    0.4280
120    121.0   24.005    -10.2721   1.5990     0.0    0.4864
130    131.0   26.005    -10.1383   1.7327     0.0    0.5542
140    141.0   28.005    -10.0049   1.8662     0.0    0.6302
150    151.0   30.005     -9.8719   1.9992     0.0    0.7199
160    161.0   32.005     -9.7383   2.1328     0.0    0.8144
170    171.0   34.005     -9.6050   2.2661     0.0    0.9267
180    181.0   36.005     -9.4713   2.3998     0.0    1.0509
190    191.0   38.005     -9.3384   2.5327     0.0    1.1891
200    201.0   40.005     -9.2049   2.6662     0.0    1.3515
210    211.0   42.005     -9.0715   2.7996     0.0    1.5292
220    221.0   44.005     -8.9381   2.9330     0.0    1.7271
230    231.0   46.005     -8.8049   3.0662     0.0    1.9396
240    241.0   48.005     -8.6716   3.1994     0.0    2.1671
250    251.0   50.005     -8.5382   3.3328     0.0    2.4154
260    261.0   52.005     -8.4051   3.4660     0.0    2.6818
270    271.0   54.005     -8.2716   3.5995     0.0    2.8146
280    281.0   56.005     -8.1386   3.7325     0.0    2.9709
290    291.0   58.005     -8.0051   3.8660     0.0    3.0171
300    301.0   60.005     -7.8714   3.9996     0.0    3.0479
310    311.0   62.005     -7.7382   4.1329     0.0    3.0972
320    321.0   64.005     -7.6050   4.2661     0.0    3.1283
330    331.0   66.005     -7.4714   4.3996     0.0    3.1782
340    341.0   68.005     -7.3384   4.5327     0.0    3.2838
350    351.0   70.005     -7.2048   4.6663     0.0    3.4478
360    361.0   72.005     -7.0714   4.7997     0.0    3.4670
370    371.0   74.005     -6.9382   4.9328     0.0    3.4963
380    381.0   76.005     -6.8048   5.0663     0.0    3.5250
390    391.0   78.005     -6.6715   5.1996     0.0    3.5430
400    401.0   80.005     -6.5382   5.3328     0.0    3.5537
410    411.0   82.005     -6.4050   5.4661     0.0    3.5723
420    421.0   84.005     -6.2717   5.5994     0.0    3.5873
430    431.0   86.005     -6.1380   5.7330     0.0    3.6212
440    441.0   88.005     -6.0048   5.8662     0.0    3.6524
450    451.0   90.005     -5.8718   5.9993     0.0    3.7636
460    461.0   92.005     -5.7381   6.1330     0.0    3.8129
470    471.0   94.005     -5.6047   6.2663     0.0    3.8804
486    481.0   95.385     -5.5356   6.3354     0.0    3.9018
496    491.0   95.785     -5.5355   6.3356     0.0    3.8899
506    501.0   96.185     -5.5357   6.3354     0.0    3.8803
516    511.0   96.585     -5.5359   6.3351     0.0    3.8734
526    521.0   96.985     -5.5359   6.3352     0.0    3.8641
536    531.0   97.385     -5.5359   6.3351     0.0    3.8551
546    541.0   97.785     -5.5358   6.3353     0.0    3.8536
556    551.0   98.185     -5.5358   6.3353     0.0    3.8417
566    561.0   98.585     -5.5356   6.3355     0.0    3.8406
576    571.0   98.985     -5.5356   6.3354     0.0    3.8330
586    581.0   99.385     -5.5353   6.3358     0.0    3.8296
596    591.0   99.785     -5.5355   6.3355     0.0    3.8198
606    601.0  100.185     -5.5357   6.3354     0.0    3.8135
616    611.0  100.585     -5.5356   6.3355     0.0    3.8096
626    621.0  100.985     -5.5358   6.3353     0.0    3.8057
636    631.0  101.385     -5.5356   6.3354     0.0    3.8006
646    641.0  101.785     -5.5355   6.3356     0.0    3.7936
656    651.0  102.185     -5.5356   6.3355     0.0    3.7941
666    661.0  102.585     -5.5357   6.3354     0.0    3.7910
676    671.0  102.985     -5.5356   6.3354     0.0    3.7667
686    681.0  103.385     -5.5354   6.3356     0.0    3.7728
696    691.0  103.785     -5.5358   6.3353     0.0    3.7721
706    701.0  104.185     -5.5355   6.3355     0.0    3.7626
716    711.0  104.585     -5.5354   6.3356     0.0    3.7627
726    721.0  104.985     -5.5354   6.3357     0.0    3.7662
736    731.0  105.385     -5.5355   6.3355     0.0    3.7604
746    741.0  105.785     -5.5355   6.3355     0.0    3.7540
756    751.0  106.185     -5.5355   6.3355     0.0    3.7597
767    761.0  106.585     -5.5349   6.3361     0.0    3.7257
777    771.0  106.985     -5.5354   6.3357     0.0    3.7080
787    781.0  107.385     -5.5352   6.3358     0.0    3.7095
797    791.0  107.785     -5.5356   6.3355     0.0    3.7074
807    801.0  108.185     -5.5352   6.3358     0.0    3.6965
817    811.0  108.585     -5.5355   6.3356     0.0    3.7019
827    821.0  108.985     -5.5353   6.3358     0.0    3.6997
837    831.0  109.385     -5.5354   6.3357     0.0    3.7419
847    841.0  109.785     -5.5354   6.3356     0.0    3.7086
857    851.0  110.185     -5.5351   6.3360     0.0    3.7135
867    861.0  110.585     -5.5354   6.3356     0.0    3.7068
877    871.0  110.985     -5.5353   6.3358     0.0    3.6792
887    881.0  111.385     -5.5353   6.3357     0.0    3.6890
897    891.0  111.785     -5.5351   6.3360     0.0    3.6630
907    901.0  112.185     -5.5359   6.3352     0.0    3.6658
917    911.0  112.585     -5.5353   6.3357     0.0    3.6646
927    921.0  112.985     -5.5354   6.3356     0.0    3.6627
937    931.0  113.385     -5.5356   6.3355     0.0    3.6732
947    941.0  113.785     -5.5355   6.3356     0.0    3.6737
957    951.0  114.185     -5.5353   6.3357     0.0    3.6373
967    961.0  114.585     -5.5354   6.3357     0.0    3.6150
977    971.0  114.985     -5.5353   6.3357     0.0    3.6195
987    981.0  115.385     -5.5355   6.3356     0.0    3.6202
997    991.0  115.785     -5.5352   6.3358     0.0    3.6094
1007  1001.0  116.185     -5.5352   6.3358     0.0    3.5905
1017  1011.0  116.585     -5.5355   6.3356     0.0    3.5773
1027  1021.0  116.985     -5.5353   6.3358     0.0    3.6206
1037  1031.0  117.385     -5.5351   6.3359     0.0    3.6208
1047  1041.0  117.785     -5.5355   6.3356     0.0    3.6101
1057  1051.0  118.185     -5.5356   6.3355     0.0    3.6062
1067  1061.0  118.585     -5.5352   6.3358     0.0    3.5932
1077  1071.0  118.985     -5.5354   6.3356     0.0    3.6016
1087  1081.0  119.385     -5.5358   6.3353     0.0    3.6004
1097  1091.0  119.785     -5.5352   6.3359     0.0    3.5903
1107  1101.0  120.185     -5.5353   6.3358     0.0    3.5977
1117  1111.0  120.585     -5.5354   6.3356     0.0    3.5812
1127  1121.0  120.985     -5.5354   6.3356     0.0    3.6032
1137  1131.0  121.385     -5.5359   6.3352     0.0    3.5946
1147  1141.0  121.785     -5.5354   6.3356     0.0    3.5688
1157  1151.0  122.185     -5.5355   6.3356     0.0    3.5623
1167  1161.0  122.585     -5.5355   6.3356     0.0    3.5562
1177  1171.0  122.985     -5.5352   6.3359     0.0    3.5593
1194  1181.0  123.460     -5.5338   6.3372     0.0    3.5646
1204  1191.0  123.860     -5.5069   6.3642     0.0    3.7775
1214  1201.0  124.260     -5.4798   6.3912     0.0    3.9337
1224  1211.0  124.660     -5.4536   6.4175     0.0    4.0533
1234  1221.0  125.060     -5.4264   6.4446     0.0    4.0847
1244  1231.0  125.460     -5.3999   6.4712     0.0    4.1112
1254  1241.0  125.860     -5.3737   6.4973     0.0    4.1689
1264  1251.0  126.260     -5.3468   6.5243     0.0    4.2150
1274  1261.0  126.660     -5.3202   6.5508     0.0    4.2283
1284  1271.0  127.060     -5.2936   6.5775     0.0    4.2765
1294  1281.0  127.460     -5.2666   6.6044     0.0    4.3273
