           Num  Time(s)  PosAbs(mm)  Pos(mm)  Pos(%)  Load(kN)
0          1.0    0.005    -16.1229  -0.0005     0.0    0.0779
10        11.0    2.005    -15.9898   0.1326     0.0    0.2251
20        21.0    4.005    -15.8567   0.2657     0.0    0.3416
30        31.0    6.005    -15.7228   0.3996     0.0    0.4730
40        41.0    8.005    -15.5898   0.5326     0.0    0.6115
50        51.0   10.005    -15.4560   0.6664     0.0    0.7644
60        61.0   12.005    -15.3231   0.7993     0.0    0.9157
70        71.0   14.005    -15.1893   0.9331     0.0    1.0756
80        81.0   16.005    -15.0564   1.0660     0.0    1.2282
90        91.0   18.005    -14.9226   1.1998     0.0    1.3864
100      101.0   20.005    -14.7890   1.3334     0.0    1.5565
110      111.0   22.005    -14.6560   1.4663     0.0    1.7100
120      121.0   24.005    -14.5230   1.5994     0.0    1.8731
130      131.0   26.005    -14.3899   1.7325     0.0    2.0236
140      141.0   28.005    -14.2569   1.8655     0.0    2.1860
150      151.0   30.005    -14.1229   1.9995     0.0    2.3416
160      161.0   32.005    -13.9898   2.1326     0.0    2.4706
170      171.0   34.005    -13.8563   2.2660     0.0    2.5420
180      181.0   36.005    -13.7240   2.3984     0.0    2.6673
190      191.0   38.005    -13.5899   2.5325     0.0    2.7077
200      201.0   40.005    -13.4564   2.6659     0.0    2.7500
210      211.0   42.005    -13.3234   2.7990     0.0    2.7757
220      221.0   44.005    -13.1898   2.9326     0.0    2.7959
230      231.0   46.005    -13.0566   3.0658     0.0    2.8289
240      241.0   48.005    -12.9234   3.1989     0.0    2.8739
250      251.0   50.005    -12.7896   3.3328     0.0    2.9660
260      261.0   52.005    -12.6566   3.4658     0.0    3.1349
270      271.0   54.005    -12.5234   3.5989     0.0    3.1518
280      281.0   56.005    -12.3897   3.7327     0.0    3.1696
290      291.0   58.005    -12.2567   3.8657     0.0    3.1939
300      301.0   60.005    -12.1229   3.9995     0.0    3.2095
310      311.0   62.005    -11.9901   4.1322     0.0    3.2132
320      321.0   64.005    -11.8574   4.2649     0.0    3.2263
330      331.0   66.005    -11.7227   4.3997     0.0    3.2341
340      341.0   68.005    -11.5900   4.5324     0.0    3.2514
350      351.0   70.005    -11.4565   4.6659     0.0    3.2794
360      361.0   72.005    -11.3232   4.7992     0.0    3.3005
370      371.0   74.005    -11.1898   4.9326     0.0    3.3161
380      381.0   76.005    -11.0565   5.0659     0.0    3.3349
390      391.0   78.005    -10.9229   5.1995     0.0    3.4283
400      401.0   80.005    -10.7898   5.3325     0.0    3.5801
410      411.0   82.005    -10.6565   5.4658     0.0    3.7372
420      421.0   84.005    -10.5236   5.5988     0.0    3.8737
430      431.0   86.005    -10.3893   5.7331     0.0    3.9939
